LEVEL1_CONTENT,获Cantor Fitzgerald重申评级Overweight，目标价调整至350美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-21
LEVEL1_CONTENT,获瑞杰金融重申评级Strong-Buy，目标价调整至330美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-21
LEVEL1_CONTENT,获THE BENCHMARK COMPANY重申评级Buy，目标价上调至335美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-21
LEVEL1_CONTENT,获史帝夫尼可洛司股份有限公司设定目标价282美元,评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-21
LEVEL1_CONTENT,获KeyCorp设定目标价310美元,评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-21
LEVEL1_CONTENT,获Robert W. Baird设定目标价500美元,评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-19
LEVEL1_CONTENT,获汇丰银行重申评级Buy，目标价上调至325美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-18
LEVEL1_CONTENT,获KeyCorp重申评级Overweight，目标价上调至300美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-18
LEVEL1_CONTENT,获D. A.达维德森上调目标价至300美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2026-05-14
